# Design Points of Design of Experiments
# Latin Hypercube Sampling Design : User-Defined Samples : Random Generator Seed = 0 : Number of Samples = 50
# ,P1 - rotor_ID (mm) ,P2 - rotor_OD (mm) ,P3 - rotor_thickness (mm) ,P5 - Total Deformation 7 Reported Frequency (Hz) ,P10 - disc Volume (mm^3) 
Name,P1,P2,P3,P5,P10
1,74.88,125.82,26.340000000000011,1599.443568408429,1056860.7458385976
2,79.2,140.9,14.020000000000001,1057.603677160078,824203.69202268228
3,66.72,146.10000000000002,6.98,589.70218837101538,554184.73577080853
4,76.8,139.34,25.900000000000013,1317.6370484730105,1317416.6566660504
5,67.68,129.98,8.74,977.31800510575852,524935.55674083508
6,88.320000000000007,132.06,18.420000000000005,1153.157097992575,817905.00956566865
7,76.320000000000007,142.98000000000002,25.02000000000001,1245.5681496300501,1364916.8675494466
8,87.84,139.86,5.22,878.91349784527381,452480.41022778151
9,70.56,133.62,11.82,1084.5445882259216,674355.59048913675
10,69.12,149.74,7.42,594.40514096542381,602799.40985939442
11,72.48,124.26,8.3,1211.8164645529782,468296.76120688085
12,68.64,136.74,14.900000000000002,1109.2551354167081,844627.48996983876
13,74.4,135.7,10.94,1046.4304434058736,651847.43297667033
14,80.64,148.18,13.14,909.44508941939864,869232.2381474612
15,72,128.94,26.780000000000005,1588.0290635604242,1163642.7836053241
16,84.960000000000008,144.54000000000002,23.260000000000009,1107.1845005018495,1246427.4401170143
17,84,137.26,9.18,1024.8981517651882,583503.53485646285
18,78.72,148.70000000000002,22.38000000000001,1092.5884490007336,1343299.6880314122
19,68.16,134.66,17.540000000000006,1237.428932772259,931580.25267485518
20,67.2,149.22000000000003,19.300000000000004,1012.4004891628184,1261550.6069709032
21,73.92,140.38,15.780000000000003,1100.7100326832979,913614.59214020881
22,85.440000000000012,128.42,22.820000000000007,1293.132228857984,908025.9157552945
23,88.800000000000011,146.62,20.620000000000005,1013.7553982282925,1143732.3631154606
24,69.6,127.38,13.580000000000002,,
25,82.080000000000013,137.78,7.86,969.9174635514064,538920.67813737807
26,78.240000000000009,134.14000000000001,17.1,1246.3632174226514,860414.388894802
27,83.52000000000001,133.1,21.060000000000006,1247.1208577136385,952435.90581082786
28,80.16,127.9,11.379999999999999,1261.8733446248357,584632.21706079913
29,89.280000000000015,132.58,6.54,1068.6956259747687,461199.46910865291
30,72.96,144.02,16.660000000000004,1055.2619664866434,1011280.7612332096
31,82.56,145.58,10.5,894.4612165070497,712558.09902504471
32,84.48,143.5,6.1,807.99741077790293,503299.377473618
33,75.36,135.18,18.860000000000007,1275.9894228637852,958748.01272050769
34,85.920000000000016,142.46,21.940000000000008,1106.4623539013455,1140903.2702123264
35,73.44,145.06,17.980000000000004,1073.1347376985636,1089864.5114644452
36,71.039999999999992,126.34,9.62,1184.5389677354412,527711.55396352231
37,87.360000000000014,138.3,16.220000000000002,1078.101922470619,842137.5286258721
38,86.88000000000001,130.5,21.500000000000007,1228.1930432943279,895005.68397522718
39,77.76,124.78,15.340000000000003,1404.2545969380242,679883.11348596949
40,89.76,147.66000000000003,19.740000000000006,982.59630945844867,1118198.1545948156
41,77.28,131.02,12.700000000000001,1226.2273135490393,665855.30201729981
42,75.84,147.14000000000001,12.260000000000002,886.45699883002487,826530.46813661174
43,81.12,126.86,10.059999999999999,1255.5881427842114,533662.67177111155
44,70.08,131.54,23.70000000000001,1480.4370633040628,1117273.2694662702
45,83.04,129.46,25.460000000000012,1366.0096902818134,1029063.2720432319
46,81.600000000000009,141.42000000000002,24.580000000000009,1204.1917667033676,1264965.3177266112
47,86.4,125.3,14.460000000000003,1216.5819954412159,626809.87446553377
48,79.68,136.22,5.66,867.33250480041056,444846.54390608962
49,71.52,141.94,24.140000000000011,1275.5971668233726,1339422.7033269927
50,66.24,138.82,20.180000000000007,1211.0733709514875,1125763.8716791074
